university_name,Average_Likes,Median_Likes,Maximum_Likes,Total_Comments
Jadavpur University,7.26,0.0,1164,1316
Patna University,4.73,0.0,1989,4510
University of Hyderabad,4.4,0.0,1060,1155
Kerala University,4.34,0.0,612,963
Banaras Hindu University,4.17,0.0,516,1071
College of Engineering Pune,3.85,0.0,792,832
Jawaharlal Nehru University,2.62,0.0,267,545
Delhi University,2.55,0.0,610,1736
University of Madras,2.09,1.0,39,205
Harcourt Butler Technical University,1.91,0.0,27,65
University of Mumbai,1.52,0.0,23,126
Andhra University,1.45,1.0,31,266
Ranchi University,1.45,0.0,13,44
Tezpur University,1.35,0.0,29,175
VIT Bhopal University,1.32,0.0,65,334
University of Allahabad,1.3,0.0,29,166
Pondicherry University,1.29,0.0,42,682
Madan Mohan Malaviya University of Technology,1.25,0.0,32,130
Institute of Chemical Technology Mumbai,1.22,1.0,5,58
Guru Ghasidas Vishwavidyalaya,1.19,0.0,39,278
VIT Vellore,1.14,0.0,34,282
SRM Institute of Science and Technology,1.06,0.0,203,1189
Central University of Karnataka,1.04,0.0,18,190
University of Calcutta,0.99,0.0,18,243
Shri Shankaracharya Technical Campus Bhilai,0.89,1.0,12,364
Jamia Millia Islamia,0.87,0.0,51,825
Assam University,0.87,0.0,11,102
Rajasthan Technical University,0.86,0.0,11,65
Lucknow University,0.8,0.0,18,311
BML Munjal University,0.79,0.0,55,1040
Mizoram University,0.74,0.0,10,202
Oriental Institute of Science and Technology Bhopal,0.73,1.0,5,41
Dr Babasaheb Ambedkar Technological University,0.69,0.0,27,129
Dr APJ Abdul Kalam Technical University,0.64,0.0,20,507
Osmania University,0.63,0.0,29,266
Savitribai Phule Pune University,0.6,0.0,16,555
Aligarh Muslim University,0.6,0.0,8,196
Devi Ahilya Vishwavidyalaya Indore,0.57,0.0,5,97
Veermata Jijabai Technological Institute,0.53,0.0,2,19
Sikkim University,0.52,0.0,74,1016
Central University of South Bihar,0.46,0.0,25,3002
North Eastern Hill University,0.43,0.0,16,423
Indian Institute of Management,0.43,0.0,2,42
Manipur University,0.41,0.0,13,485
Jiwaji University Gwalior,0.4,0.0,10,1082
Barkatullah University Bhopal,0.4,0.0,2,15
Gujarat University,0.39,0.0,3,38
Mysore University,0.38,0.0,7,393
Dibrugarh University,0.27,0.0,2,118
University of Rajasthan,0.21,0.0,3,159
Tripura University,0.0,0.0,0,5
