published_at,Average_Likes,Total_Likes
2023-01,0.6363636363636364,7
2023-02,8.847649918962723,5459
2023-03,2.4805194805194803,573
2023-04,0.8064516129032258,125
2023-05,0.9743589743589743,304
2023-06,2.9017153453871116,6259
2023-07,0.8885832187070152,646
2023-08,6.170760233918129,5276
2023-09,1.816546762589928,505
2023-10,8.871212121212121,2342
2023-11,7.584795321637427,1297
2023-12,3.0052083333333335,577
2024-01,2.020304568527919,398
2024-02,2.8863636363636362,381
2024-03,4.996062992125984,1269
2024-04,2.2932551319648096,782
2024-05,1.389873417721519,549
2024-06,1.1679012345679012,473
2024-07,3.3445783132530122,1388
2024-08,1.0636856368563685,785
2024-09,1.0319148936170213,291
2024-10,1.360655737704918,166
2024-11,0.6829268292682927,56
2024-12,1.4772727272727273,130
2025-01,0.8315789473684211,158
2025-02,1.617801047120419,309
2025-03,1.3861671469740633,962
2025-04,1.1,462
2025-05,3.787301587301587,3579
2025-06,1.253114382785957,2213
2025-07,0.6916951080773607,1216
2025-08,0.49884526558891457,216
2025-09,5.223303274798291,22011
2025-10,0.6272439281942978,594
2025-11,0.530938123752495,266
2025-12,0.7862595419847328,206
2026-01,0.8982188295165394,353
2026-02,0.6687898089171974,210
2026-03,0.7259136212624585,437
2026-04,0.6802610114192496,417
2026-05,0.5836545875096376,757
2026-06,0.31790295593976575,570
2026-07,0.6039525691699604,764
2026-08,0.10256410256410256,4
