published_at,Average_Replies,Total_Replies
2023-01,1.0,3
2023-02,6.529411764705882,444
2023-03,2.0384615384615383,53
2023-04,1.8333333333333333,33
2023-05,2.4098360655737703,147
2023-06,3.394658753709199,1144
2023-07,1.8866995073891626,383
2023-08,2.700507614213198,532
2023-09,2.0294117647058822,69
2023-10,7.276595744680851,342
2023-11,3.2888888888888888,148
2023-12,3.5405405405405403,131
2024-01,4.809523809523809,101
2024-02,4.0,76
2024-03,3.9183673469387754,192
2024-04,2.5081967213114753,153
2024-05,2.4457831325301207,203
2024-06,2.684931506849315,196
2024-07,3.27027027027027,242
2024-08,2.1370967741935485,265
2024-09,1.7708333333333333,85
2024-10,2.68,67
2024-11,2.090909090909091,23
2024-12,4.666666666666667,56
2025-01,2.6923076923076925,105
2025-02,2.183673469387755,107
2025-03,2.511904761904762,422
2025-04,2.5319148936170213,238
2025-05,2.299492385786802,453
2025-06,2.6315789473684212,850
2025-07,1.9935897435897436,933
2025-08,1.8571428571428572,156
2025-09,2.5601503759398496,681
2025-10,1.5116279069767442,65
2025-11,1.95,117
2025-12,2.0869565217391304,96
2026-01,2.3780487804878048,195
2026-02,1.6,96
2026-03,2.191919191919192,217
2026-04,2.1259259259259258,287
2026-05,2.5081967213114753,612
2026-06,2.7733333333333334,1040
2026-07,1.8629441624365481,367
