university_name,Average_Replies,Median_Replies,Maximum_Replies,Total_Comments
Jawaharlal Nehru University,4.98,2.0,47,55
Mizoram University,4.65,2.0,46,34
University of Hyderabad,4.12,2.0,66,113
Devi Ahilya Vishwavidyalaya Indore,4.11,2.0,23,18
Banaras Hindu University,3.83,1.0,97,119
Jadavpur University,3.61,1.0,55,160
VIT Bhopal University,3.57,2.0,20,61
Oriental Institute of Science and Technology Bhopal,3.33,4.0,5,6
Harcourt Butler Technical University,3.33,2.0,15,12
University of Calcutta,3.31,2.0,23,45
Mysore University,3.19,1.0,24,77
Rajasthan Technical University,3.18,2.0,16,11
Gujarat University,3.17,1.5,11,6
Patna University,3.1,1.0,28,157
Barkatullah University Bhopal,3.0,3.0,5,2
Ranchi University,3.0,1.5,12,8
Lucknow University,2.92,1.0,21,65
Madan Mohan Malaviya University of Technology,2.89,2.0,10,28
Central University of South Bihar,2.89,2.0,93,659
Kerala University,2.88,1.0,38,167
Dr Babasaheb Ambedkar Technological University,2.84,1.0,17,25
North Eastern Hill University,2.7,1.0,52,92
Shri Shankaracharya Technical Campus Bhilai,2.68,2.0,16,90
Assam University,2.62,2.0,6,16
Manipur University,2.56,1.0,51,123
College of Engineering Pune,2.54,1.0,20,93
Aligarh Muslim University,2.46,1.0,11,28
Jamia Millia Islamia,2.46,1.0,19,178
Dr APJ Abdul Kalam Technical University,2.41,2.0,30,114
Jiwaji University Gwalior,2.31,1.0,20,249
Guru Ghasidas Vishwavidyalaya,2.27,1.0,16,66
Osmania University,2.26,1.0,16,43
University of Madras,2.26,2.0,8,35
BML Munjal University,2.26,1.0,29,194
Pondicherry University,2.18,1.0,15,164
Sikkim University,2.11,1.0,32,258
Delhi University,2.1,1.0,40,366
Tezpur University,2.09,1.0,12,33
Central University of Karnataka,2.06,1.0,17,33
VIT Vellore,1.89,1.0,13,62
Institute of Chemical Technology Mumbai,1.85,1.0,3,13
University of Allahabad,1.76,1.0,6,33
SRM Institute of Science and Technology,1.72,1.0,19,242
University of Mumbai,1.7,1.0,7,33
Dibrugarh University,1.61,1.0,9,33
Veermata Jijabai Technological Institute,1.6,2.0,2,5
Andhra University,1.57,1.0,9,68
Savitribai Phule Pune University,1.45,1.0,10,182
University of Rajasthan,1.23,1.0,2,13
Tripura University,1.0,1.0,1,2
Indian Institute of Management,1.0,1.0,1,16
