combined_comment,likes,university_name,sentiment
Looks like teacher is very optimistic and positive in life. ❤❤,1989,Patna University,Positive
Ma'am is one of the best professor of political science dept in patna University,1539,Patna University,Positive
"Don't go to Jadavpur University if want to save you life , this collage is also highest is ragging, recently a MSc. student  kill by senior 😢",1164,Jadavpur University,Negative
Top 5 over ranked colleges- 1. VIT Vellore (12) 2. SRM (24) 3. Amity (25) 4. Chandigarh University (45) 5. LPU (51),1060,University of Hyderabad,Positive
Oxford ka menu 😂,1052,Patna University,Neutral
Return on investment-🗿 Return of student - 💀,978,Jadavpur University,Neutral
And people of WB who know the reality. 🌚,804,Jadavpur University,Neutral
Finally bhaiya remembered his yt password,792,College of Engineering Pune,Neutral
"पत्रकार महोदय, आपकी मेहनत चेहरे से और ईमानदारी कार्य से पता चल रही है 👍",784,Patna University,Neutral
Original Bihar dikha rahe ho😢😢😢😢😢,726,Patna University,Positive
She is very diplomatic.everyone knows the quality of education in patna University.,641,Patna University,Neutral
ഇന്ന് വരെ ഒരു പരീക്ഷ പോലും സമയത് നടത്താൻ കഴിയാത്ത കാലിക്കറ്റ് യൂണിവേഴ്സിറ്റി 100ഇൽ പെട്ടു എങ്കിൽ .ഇന്ത്യയിലെ മറ്റു യൂണിവേഴ്സിറ്റിയുടെ ഒരു അവസ്ഥ .😂 WhatsApp Facebook നോക്കി സമയം കളയുന്ന കുറേ ഉദ്യോഗസ്ഥർ ഉണ്ട്‌ calicut university യിൽ,612,Kerala University,Neutral
My dream university BHU,610,Delhi University,Positive
Shefali mam se mai political science padhi hu patna womens college Mai.96-98 batch.Great teacher 🙏,595,Patna University,Neutral
पत्रकारिता हो तो इस तरह ❤,575,Patna University,Neutral
Aman bhaiya chalu aadmi hain Pehle hi inko poore india ki didi declare kar diya tha 💀💀💀🗿😂,560,Jadavpur University,Neutral
Reality is most student don't even know these facts.,544,Patna University,Neutral
I am student of AMU❤❤❤❤,516,Banaras Hindu University,Neutral
Kal jadavpur university se ak ladka ragging & murder huya hai.,498,Jadavpur University,Negative
Gov teacher complain krte h to ulta unhi ke upar letter issue ho jata h,469,Patna University,Negative
