combined_comment,reply_count,university_name,sentiment
I am student of AMU❤❤❤❤,97,Banaras Hindu University,Neutral
Ba llb ya bba llb kisi me bhi ho skta h kya 170 /500 + ews category,93,Central University of South Bihar,Neutral
Top 5 over ranked colleges- 1. VIT Vellore (12) 2. SRM (24) 3. Amity (25) 4. Chandigarh University (45) 5. LPU (51),66,University of Hyderabad,Positive
Next shorts kispe banay ?,66,University of Hyderabad,Neutral
"Don't go to Jadavpur University if want to save you life , this collage is also highest is ragging, recently a MSc. student  kill by senior 😢",55,Jadavpur University,Negative
Is this the university where the ragging took place?,52,North Eastern Hill University,Neutral
Didi me odisha se hun cuet pg b.ed me admission lena chahti hun MU me kya b.ed department achha hai please guide me,51,Manipur University,Positive
Mera 102 physics me hai 121 maths me 94 Chemistry 102 gat or 74 english koi bsc ke btayiye na pls ews sehu,50,Central University of South Bihar,Positive
JNU is best university for Indian growing students ❤,47,Jawaharlal Nehru University,Positive
6:25 Ambulance facility haii bhaiya 6:58- traffic nhi rahe toh 10 min traffic rahe toh maximum 30min lgte hain hostel aane me( new girls hostel),46,Mizoram University,Neutral
I am a student of BHU and I believe in BHU at number 1.😊,44,Banaras Hindu University,Positive
My dream university BHU,40,Delhi University,Positive
"This university is very near to my house.  Before the university made , i used to play cricket on that ground 😅",38,Central University of South Bihar,Positive
കേരളത്തിലെ ഏറ്റവും മികച്ച കോളേജ് അമൽ ജ്യോതി 👍🏻,38,Kerala University,Neutral
"Jadavpur , pride of bengal♥",37,Jadavpur University,Positive
4yr is a waste,33,Kerala University,Negative
Hii.i got selected in MA English and in hostel also.bdw can u say how is the boys hostel there.is it two seater or more? .and how much far is the hostels from english department?.please let me know as this will be my first time there,32,Sikkim University,Neutral
There is no competition with what's app University 😎😎😎 Most of the people are educated from here today in india 😅😅,30,Jawaharlal Nehru University,Negative
I am proud to be a BHU student of the Economics department,30,Delhi University,Positive
Second dropper ja sakta h,30,Dr APJ Abdul Kalam Technical University,Neutral
