Keyword,Betweenness Centrality
show,0.020235060168141368
bihar,0.020097685778399245
time,0.017942470130387706
exam,0.01660288381815203
year,0.015143283729853647
बिहार,0.014657047980625362
hostel,0.014527988259454144
chahiye,0.012590624284537923
hota,0.010816001613102331
best,0.010712471512564065
top,0.010709402800330682
maine,0.010687544661789151
baat,0.01063806192343942
mujhe,0.010544411870933237
रहा,0.010305368336836453
batao,0.01009917238886996
delhi,0.009579915466451714
rha,0.009221052326427346
state,0.009161989131435745
tak,0.008911837373158742
jayega,0.008729771799038324
govt,0.008533174429909458
में,0.008441393330990504
fee,0.008277100468358266
score,0.008119950219052043
better,0.008005259975281063
clg,0.00800410909997808
help,0.007830935795946082
sakta,0.007797569777921621
rhe,0.007780602559406571
gya,0.007627624289933776
abhi,0.0075852705107858935
apply,0.007515911140187122
problem,0.0074400675388262855
seat,0.007239964490041619
wale,0.007083636385914937
admission,0.007030701384128496
baad,0.006938863711640445
registration,0.006767022008395431
cusb,0.00670656907091982
branch,0.006526805775146002
english,0.006485610208764634
placement,0.006427255341483952
private,0.006400668870214912
agriculture,0.006365717456973387
sikkim,0.006295194046412252
rank,0.0062609249112519395
india,0.006244539684579439
class,0.005906570532394819
cutoff,0.005793593276421877
number,0.005778927278505614
milega,0.005753373485571634
good,0.005739743356734894
ranking,0.005726425197274359
study,0.005723841179963576
get,0.00569119813841363
know,0.005524214832477934
cse,0.005445930828780091
llb,0.005445883201183503
chance,0.0054343835161900405
log,0.00537558854804913
iss,0.005244567670532088
itna,0.005193381888659965
sarkar,0.005192850892050553
hoti,0.005148117820611283
think,0.00501556438016961
mark,0.005000424097805714
government,0.0049100874226412515
bed,0.0049057396789756735
agr,0.004891360176587758
name,0.004852798022532217
patna,0.004843958641186777
paisa,0.00483585816589851
scholarship,0.00472287867119388
jaise,0.004679288695011832
obc,0.004639406741098155
kitne,0.004614679646220453
sakte,0.004614577823370418
new,0.0045810369912060835
list,0.004489428401678809
subject,0.004461286806491518
skta,0.004432094926667176
jaye,0.004423143870375975
give,0.004370025840403573
sath,0.004268769976680007
thik,0.004234005579812539
har,0.004231541114810584
category,0.004200212746498045
day,0.004167937165443018
date,0.004069428654418358
percentile,0.004067407901908516
aata,0.0040405637798141885
aapko,0.004000050520299302
dono,0.003953322819181333
science,0.003948765546538468
system,0.003931193970302017
result,0.003926299199052599
open,0.003901065326850932
bad,0.0038959162112933
program,0.0038862580743722905
baki,0.0038813910261493085
bare,0.003830769449764862
tell,0.0037975323027587726
kuchh,0.0037855748725420524
choose,0.0037669402389169156
general,0.0037351802045391476
sare,0.003677262128780482
round,0.0036413805822582608
form,0.003628686823739092
usme,0.0036178586813043322
cut,0.003592676384240057
aisa,0.003573222174436087
kaisa,0.003561746265849307
information,0.0035164868005365803
collage,0.0035148317718083724
aise,0.0035068107705606326
fill,0.0034790025453600736
apna,0.003420816396741406
central,0.003415043825578525
management,0.0032899890936866375
bata,0.003246853770809574
baar,0.0032430723618745304
addmission,0.0031892146306007783
question,0.003139138780367445
pata,0.00313747678570732
possible,0.0031197554708988755
want,0.00311314508682637
pta,0.003096071577726297
say,0.0030442301271970396
jab,0.003026424455555656
kyuki,0.0029340181586102443
first,0.002798798275077728
join,0.002703242363794953
pas,0.0027017271753337437
online,0.002688500739717191
thing,0.0026858690747945204
apne,0.0026605885611942744
got,0.0026571746129309152
lakh,0.002637014117194032
entrance,0.002617313828290127
bana,0.002609414996302438
bar,0.0025871025884084196
news,0.0025668800161089147
option,0.0025439066358375895
wala,0.0025290256907740615
saal,0.0025076786393273295
kaam,0.002472490757651682
use,0.0024708686920284014
ece,0.0024658919985661885
start,0.002450380063487182
job,0.002447780888524173
check,0.0023994694441394947
detail,0.0023815737998345485
free,0.0023803718241444663
yahi,0.0023243275615284467
karne,0.0023151174018097923
bit,0.0022742294062374187
hote,0.0022719114003404268
है।,0.002260719799948678
life,0.0022569442440325818
website,0.002166765942872469
counselling,0.002129404545615043
work,0.002059779171010716
contact,0.0020343919124710236
kitna,0.002032459023837036
naam,0.001972456773356106
padhai,0.0019476274601343152
provide,0.001931567965795599
rhi,0.0019294875836095592
level,0.001798128422666621
research,0.00177032248559527
bta,0.0016890521790565844
people,0.0016333734596660318
jyada,0.0015852458484428554
jadavpur,0.0014529010959514685
desh,0.0014401395137257956
month,0.0014325778916723215
सरकार,0.0014247043268977818
mean,0.0014186249062465232
available,0.0014048696515673443
vote,0.0013808959411607939
khud,0.0013791031679229152
package,0.0013317228799323844
dena,0.0013242991808764448
come,0.0012846324253191243
technology,0.001269129406507278
hons,0.001236020525761005
kabhi,0.001170919315191416
din,0.0010878565534272841
kerala,0.001078935284412095
issue,0.0008949759539594678
certificate,0.0008937265647376424
tech,0.0008714579475658645
bjp,0.0008633480236931713
ragging,0.0008582344260541832
लिए,0.0008049460554984038
gat,0.0007799623226329781
etc,0.0006653346311008099
नहीं,0.00021603576944319674
हैं,0.0
