Keyword,Eigenvector Centrality
admission,0.41210451476549737
get,0.3812991426306428
category,0.238779908203259
cse,0.22315248054436426
rank,0.17673046027540695
good,0.16776250986922192
obc,0.16389693425478005
hostel,0.14503187421946573
mark,0.14069515844260275
year,0.1389407523807032
placement,0.13099330636235154
fee,0.1299700589458545
exam,0.1293866442665809
general,0.12452193411337986
jayega,0.11697800097133147
hota,0.11629171472869486
got,0.11551702975637264
mujhe,0.11493442174973229
branch,0.11092109017928335
cusb,0.11052726093139373
chance,0.10211003639117841
want,0.10109834890539113
kitna,0.10070654039709039
llb,0.09670487071839952
sakta,0.09062961977762023
ece,0.08914503374752834
milega,0.08737451100220976
score,0.08716692250483209
agriculture,0.08419128207999492
cutoff,0.08282712960294011
tell,0.07977778612624567
best,0.07759722359429297
better,0.07714469841390056
science,0.077125180116665
seat,0.07559058807278532
chahiye,0.07500121427701933
know,0.07239997268251079
form,0.07106650429774856
lakh,0.07037782495477848
percentile,0.06790814482231626
entrance,0.06594089752127426
kaisa,0.06537220241341951
sikkim,0.061634606984294356
gat,0.06131383411422643
rha,0.06120239326589437
possible,0.061084573612882616
cut,0.06077178561391896
top,0.0594064895451763
kitne,0.05311872747810689
english,0.052540592237473566
skta,0.05217029621124432
bed,0.051927755180480595
bihar,0.051716712003248365
help,0.05133018503838025
list,0.051073745795081
option,0.0510285877574594
job,0.05092232292321428
registration,0.05037939794015631
class,0.05005788334454311
time,0.049328007297838816
start,0.04872736088050999
gya,0.04807429469566347
apply,0.04806457848257135
round,0.04605608831774015
first,0.04528467697220216
information,0.044551936348110124
ranking,0.04374363145778367
life,0.043705454990240644
give,0.04286439458542555
fill,0.04196987353676058
scholarship,0.04178445506001925
clg,0.04085882476489437
sakte,0.040674537351785486
abhi,0.04006861592695027
india,0.03947970898000946
maine,0.038175449382129904
package,0.03800761953961776
result,0.03771536376179308
government,0.03742173783456525
jadavpur,0.03713813278453035
state,0.03661092559277932
join,0.03648872912886931
subject,0.03542134204789019
addmission,0.03500428807121019
tak,0.03485246969901825
dena,0.03253912654881901
patna,0.03204079672844943
private,0.031995748961916044
number,0.03147296689332451
online,0.03135226389690424
hons,0.031328713174500075
iss,0.03131175229602712
website,0.030899162531647265
bata,0.030780861893717124
saal,0.03074759636142652
delhi,0.03014107738656498
tech,0.028459154508989074
work,0.028125203028389462
hoti,0.028017211796834408
bit,0.027843541167070048
bta,0.02756590040095217
rhe,0.027024297107840385
available,0.02695176005983338
central,0.026207025280929334
name,0.025937825303543712
problem,0.02580235290882877
question,0.02562628313106243
baad,0.02396516438379486
detail,0.023918738876551143
choose,0.023839587204209964
month,0.023455864066566787
check,0.023203294350107
open,0.023008002904522536
pas,0.022560388377006795
research,0.02249033801977889
program,0.022445591576109467
certificate,0.022382465540487364
govt,0.022136438312995207
baar,0.02203495845077421
come,0.02186789273473369
batao,0.021459687288464552
ragging,0.021254372559867382
collage,0.021050620109296633
contact,0.020988276059971982
wale,0.020808127885371897
din,0.020737969740301686
provide,0.020423772384961684
technology,0.02012165905048272
rhi,0.019946601618939068
bad,0.01980131178648336
date,0.019054119455854588
free,0.018854797317655093
log,0.018851303460881784
counselling,0.01818831602489433
new,0.017303658350163138
yahi,0.017291569437705708
management,0.01688049479888581
bar,0.016824207332465917
people,0.016793474104195887
jab,0.016528912385024512
study,0.016151646454741483
jyada,0.016095037894954402
thing,0.0159224005915895
apne,0.015720041755347722
padhai,0.015547083040351812
usme,0.015429602968736791
think,0.015417643350788986
itna,0.015362812157635616
mean,0.015339081398177048
baat,0.015231905961053697
paisa,0.015099993111643594
thik,0.015069231482406149
dono,0.014996674205830333
pata,0.014624926173691337
hote,0.014623232443165508
karne,0.01428216444716842
system,0.01423979250611335
jaye,0.014206361353832924
aata,0.014178447269621527
say,0.01409325520588606
jaise,0.013964710845455574
apna,0.013833098052807942
day,0.013739142028397119
show,0.013703457249558921
baki,0.013433755375534168
sath,0.012939587650140052
etc,0.012796100565624568
bare,0.012686671501169191
agr,0.01242520919454308
kaam,0.012268383000000407
pta,0.01215002017815329
aisa,0.012102073128002334
khud,0.012065145897376174
wala,0.01194394837910229
naam,0.011736978771435636
aapko,0.011399291953209944
level,0.011368046384590559
kuchh,0.010946330922076563
aise,0.010858023563171183
kerala,0.010806157478762367
har,0.009349734135202617
kabhi,0.008846570562539745
bana,0.008186713655405546
kyuki,0.007888840128572196
sare,0.0078855227962554
news,0.007026800761379139
vote,0.006846750276528234
issue,0.006838752549029652
use,0.005380368958916351
bjp,0.005025500727957724
desh,0.0047796727888083455
sarkar,0.004376189706635268
में,0.002021301563836519
लिए,0.0017047218615217153
बिहार,0.0007049773172640845
नहीं,0.0006479079214153464
रहा,0.0001062621189259546
सरकार,6.773052037392558e-05
है।,3.5689362215966514e-05
हैं,1.698044667137414e-05
