Source,Target,Weight
science,political,98
admission,get,94
news,pinch,89
exam,entrance,81
obc,ncl,77
category,general,75
fill,form,73
category,obc,71
preference,list,68
computer,science,55
west,bengal,54
science,life,50
merit,list,49
hey,whatsapp,48
average,package,46
admission,process,45
send,hey,44
hostel,mess,44
fee,hostel,44
abhi,tak,44
english,gat,43
try,notice,43
come,notice,43
package,lpa,40
admission,direct,39
fee,structure,39
bcom,hons,37
fee,mess,36
mark,kitne,36
south,bihar,36
rank,lakh,36
stay,tuned,35
bata,dijiye,33
cse,branch,31
rank,got,31
placement,good,31
year,first,30
bit,mesra,30
bta,dijiye,29
entry,lateral,29
request,informed,29
admission,sakta,29
try,requested,29
come,request,29
bba,llb,29
whatsapp,free,28
cse,get,28
rank,crl,27
language,english,27
central,south,26
fan,big,26
package,avg,26
yahi,haal,26
free,guidance,25
admission,cusb,25
work,great,25
में,बिहार,25
year,llb,25
registration,start,25
science,data,25
information,good,25
admission,jayega,25
hota,admission,25
good,work,25
placement,kaisa,25
get,seat,24
bannaooo,bannaoo,24
kbse,bannaooo,24
bana,bannaoo,24
vdo,banna,24
upr,plaksha,24
banna,kbse,24
vdo,upr,24
dijiye,bana,23
यूनिवर्सिटी,पटना,23
cse,avg,23
exam,give,23
information,detailed,23
check,website,23
communication,mass,22
admission,lene,22
fee,kitna,22
cse,ece,22
want,know,22
exam,dena,22
rank,get,22
state,home,22
best,india,22
good,get,21
cse,average,21
exam,gat,21
obc,muslim,21
rha,dikha,21
rank,obc,21
rank,category,20
exam,hindi,20
good,job,20
test,general,20
kitna,cutoff,20
list,waiting,20
subject,mapping,20
placement,cse,20
kitna,mark,20
ranking,better,20
pas,class,20
punjab,big,20
kitna,cut,20
papa,neha,20
fee,kitni,20
jamia,millia,20
cse,bhopal,20
category,get,20
hostel,tell,20
pakka,vachidhi,19
hindu,muslim,19
good,option,19
admission,taking,19
art,commerce,19
mujhe,admission,19
quota,management,19
year,previous,19
better,far,19
form,application,18
activity,curricular,18
fill,profile,18
get,ece,18
baad,uske,18
vellore,chennai,18
class,english,18
baar,iss,18
preference,sheet,18
profile,analysis,18
pehle,khud,18
saal,iss,18
online,apply,18
lene,decision,18
get,chance,18
form,analysis,18
document,verification,18
kashyap,raunak,18
admission,cse,18
want,pursue,18
millia,islamia,18
baare,jaankari,17
lpa,avg,17
eligibility,criterion,17
admission,related,17
important,point,17
nitish,kumar,17
subject,gat,17
career,goal,17
placement,internship,17
year,second,17
sakte,jaankari,17
easily,accessible,17
din,kitne,17
language,mene,17
aapko,baare,17
lab,library,17
jaata,jaana,17
infrastructure,modern,17
aapko,point,17
hindi,mene,17
stay,vachidhi,17
admission,sikkim,17
पटना,विश्वविद्यालय,16
research,exploration,16
want,ask,16
postgraduate,graduate,16
goal,interest,16
sakti,samanya,16
science,social,16
science,pol,16
event,mauka,16
choose,hisab,16
better,option,16
consider,carefully,16
sthit,aaspaas,16
time,mapping,16
karne,madad,16
karne,choose,16
admission,milega,16
हैं,रहे,16
information,sakti,16
event,society,16
research,khud,16
location,promote,16
experienced,accessible,16
chemistry,physic,16
hisab,interest,16
status,initial,16
participate,mauka,16
got,percentile,16
