Year_Month,Comments
2023-01,6
2023-02,323
2023-03,110
2023-04,109
2023-05,220
2023-06,1265
2023-07,365
2023-08,579
2023-09,116
2023-10,54
2023-11,60
2023-12,46
2024-01,54
2024-02,57
2024-03,94
2024-04,193
2024-05,202
2024-06,170
2024-07,147
2024-08,455
2024-09,149
2024-10,56
2024-11,42
2024-12,36
2025-01,80
2025-02,87
2025-03,537
2025-04,264
2025-05,349
2025-06,1024
2025-07,601
2025-08,198
2025-09,3840
2025-10,853
2025-11,329
2025-12,138
2026-01,232
2026-02,159
2026-03,331
2026-04,387
2026-05,638
2026-06,857
2026-07,910
2026-08,19
