Year_Month,Negative,Neutral,Positive
2023-01,1,3,2
2023-02,12,200,111
2023-03,6,57,47
2023-04,6,68,35
2023-05,17,112,91
2023-06,109,819,337
2023-07,27,200,138
2023-08,83,287,209
2023-09,19,65,32
2023-10,6,31,17
2023-11,2,27,31
2023-12,4,25,17
2024-01,3,26,25
2024-02,2,37,18
2024-03,7,62,25
2024-04,24,106,63
2024-05,14,101,87
2024-06,17,104,49
2024-07,17,96,34
2024-08,54,239,162
2024-09,11,70,68
2024-10,3,32,21
2024-11,1,27,14
2024-12,7,20,9
2025-01,7,44,29
2025-02,12,54,21
2025-03,42,321,174
2025-04,22,166,76
2025-05,34,201,114
2025-06,92,597,335
2025-07,38,394,169
2025-08,28,104,66
2025-09,335,2565,940
2025-10,90,574,189
2025-11,24,213,92
2025-12,12,64,62
2026-01,23,144,65
2026-02,9,94,56
2026-03,36,198,97
2026-04,38,239,110
2026-05,62,371,205
2026-06,72,571,214
2026-07,71,541,298
2026-08,4,14,1
