Year_Month,1,2,3,4,5,6,7,8,9,10
2023-01,2,1,1,0,0,0,0,0,1,1
2023-02,12,12,59,37,14,49,20,49,39,32
2023-03,2,1,22,13,5,35,5,9,5,13
2023-04,4,4,11,14,3,44,2,17,1,9
2023-05,20,9,31,24,11,42,8,34,30,11
2023-06,41,55,395,104,40,231,48,125,57,169
2023-07,4,13,72,37,24,96,7,25,8,79
2023-08,22,19,84,79,35,114,36,72,36,82
2023-09,8,5,19,14,5,28,9,9,2,17
2023-10,4,4,7,4,1,11,4,4,2,13
2023-11,3,3,6,9,0,16,12,3,0,8
2023-12,2,1,9,8,0,9,0,4,3,10
2024-01,1,3,8,8,2,8,8,7,3,6
2024-02,1,2,15,3,3,14,3,5,2,9
2024-03,2,7,12,14,5,20,3,8,7,16
2024-04,8,1,40,20,5,56,8,14,6,35
2024-05,11,10,39,22,7,42,10,25,15,21
2024-06,10,4,30,26,7,40,5,22,6,20
2024-07,7,6,27,19,3,32,8,22,4,19
2024-08,18,23,64,66,17,94,26,64,18,65
2024-09,3,7,18,13,6,41,16,17,10,18
2024-10,5,0,9,4,5,12,2,9,6,4
2024-11,2,2,4,6,4,13,1,3,3,4
2024-12,3,1,2,2,1,7,3,6,4,7
2025-01,1,2,12,11,8,19,3,9,2,13
2025-02,3,1,15,8,3,22,5,11,6,13
2025-03,17,37,108,53,34,121,25,45,10,87
2025-04,8,10,47,32,13,56,26,24,13,35
2025-05,14,12,56,50,12,78,17,33,16,61
2025-06,33,48,237,84,57,227,51,90,16,181
2025-07,33,30,72,77,27,139,33,74,48,68
2025-08,14,2,34,34,7,44,5,19,3,36
2025-09,141,165,502,501,161,865,193,521,310,481
2025-10,39,15,181,93,44,261,34,49,21,116
2025-11,11,11,40,40,13,100,16,40,18,40
2025-12,9,2,23,21,5,36,5,11,2,24
2026-01,9,6,34,19,11,65,6,33,18,31
2026-02,7,5,14,19,11,53,4,12,6,28
2026-03,13,6,42,36,10,125,9,36,5,49
2026-04,12,11,61,34,16,120,15,46,13,59
2026-05,33,20,76,72,31,197,39,89,28,53
2026-06,34,19,71,108,33,284,103,78,44,83
2026-07,33,32,238,106,44,173,42,85,19,138
2026-08,2,0,5,2,1,3,0,2,0,4
