Year_Month,Central University of South Bihar,Delhi University,Jadavpur University,Kerala University,Patna University
2023-01,0,2,0,0,0
2023-02,0,0,320,0,0
2023-03,0,1,86,0,0
2023-04,0,37,28,0,0
2023-05,0,0,20,0,0
2023-06,5,106,25,635,0
2023-07,0,11,22,90,1
2023-08,0,115,238,23,0
2023-09,0,4,50,8,0
2023-10,0,1,28,4,0
2023-11,0,1,42,6,0
2023-12,0,0,14,4,0
2024-01,0,1,15,8,0
2024-02,0,3,8,4,0
2024-03,0,19,7,12,0
2024-04,0,21,24,17,0
2024-05,0,39,16,19,0
2024-06,0,12,17,29,0
2024-07,0,3,18,7,0
2024-08,0,27,21,1,3
2024-09,0,34,12,2,0
2024-10,0,4,6,2,0
2024-11,8,0,1,1,0
2024-12,0,1,5,0,0
2025-01,0,7,6,0,4
2025-02,0,9,6,0,0
2025-03,2,68,5,0,0
2025-04,0,22,3,0,0
2025-05,3,77,14,4,0
2025-06,248,58,4,1,0
2025-07,308,50,3,0,0
2025-08,23,39,1,1,0
2025-09,8,63,18,0,3477
2025-10,6,21,6,0,730
2025-11,7,9,12,0,212
2025-12,10,20,2,0,8
2026-01,29,57,4,0,2
2026-02,10,22,3,0,4
2026-03,41,40,4,0,4
2026-04,77,20,13,0,4
2026-05,75,26,4,0,5
2026-06,558,31,23,0,2
2026-07,174,509,4,1,8
2026-08,1,2,3,0,0
