video_id,university_name,category,topic,search_query,title,description,channel_name,upload_date,upload_year,views,likes,comment_count,duration,language,video_url,relevance_score,relevance_label,clean_title,clean_description,combined_text
WkkzXvo_tbE,Delhi University,rankings,NIRF,Delhi University NIRF,Top 10 North Campus Colleges of Delhi University in 2024 🔥 | NIRF RANKING DU COLLEGES 💯,Top 10 North Campus Colleges of Delhi University in 2024 | NIRF RANKING DU COLLEGES #cuet #delhiuniversity #csas #nta ...,Raj Unfiltered ,2024-08-08T17:13:52Z,2024,336,0,2,PT58S,unknown,https://www.youtube.com/watch?v=WkkzXvo_tbE,36,Relevant,Top 10 North Campus Colleges of Delhi University in 2024 🔥 | NIRF RANKING DU COLLEGES 💯,Top 10 North Campus Colleges of Delhi University in 2024 | NIRF RANKING DU COLLEGES #cuet #delhiuniversity #csas #nta .,Top 10 North Campus Colleges of Delhi University in 2024 🔥 | NIRF RANKING DU COLLEGES 💯 Top 10 North Campus Colleges of Delhi University in 2024 | NIRF RANKING DU COLLEGES #cuet #delhiuniversity #csas #nta .
nd3Bdz4B5WU,Tezpur University,rankings,NIRF,Tezpur University NIRF,🔴NIRF Ranking| Gauhati/Tezpur University Rank  | Important for all Exam,NIRF Ranking| Gauhati/Tezpur University Rank | Important for all Exam National Institutional Ranking framework has been ...,Easy Class By Binoy Satnami,2024-08-14T00:00:07Z,2024,85,11,0,PT5M40S,unknown,https://www.youtube.com/watch?v=nd3Bdz4B5WU,36,Relevant,🔴NIRF Ranking| Gauhati/Tezpur University Rank | Important for all Exam,NIRF Ranking| Gauhati/Tezpur University Rank | Important for all Exam National Institutional Ranking framework has been .,🔴NIRF Ranking| Gauhati/Tezpur University Rank | Important for all Exam NIRF Ranking| Gauhati/Tezpur University Rank | Important for all Exam National Institutional Ranking framework has been .
Nw8vJerkdJY,SRM Institute of Science and Technology,rankings,NIRF,SRM Institute of Science and Technology NIRF,Srm Institute of Science and technology in Chennai|Nirf ranking 2025|Ratings|placement in tamil,Srm institute of science and technology Location Course offering Facilities placement ratings Ranking full details in tamil ...,MK Trending Education,2025-12-23T03:30:31Z,2025,17,0,0,PT4M3S,unknown,https://www.youtube.com/watch?v=Nw8vJerkdJY,34,Relevant,Srm Institute of Science and technology in Chennai|Nirf ranking 2025|Ratings|placement in tamil,Srm institute of science and technology Location Course offering Facilities placement ratings Ranking full details in tamil .,Srm Institute of Science and technology in Chennai|Nirf ranking 2025|Ratings|placement in tamil Srm institute of science and technology Location Course offering Facilities placement ratings Ranking full details in tamil .
F-U1qeJTNTM,Jawaharlal Nehru University,rankings,NIRF,Jawaharlal Nehru University NIRF,#jnu Top Ranked University in India | Jawaharlal Nehru University | NIRF Ranking 2,Jawaharlal Nehru University Jawaharlal Nehru University | Top Ranked University in India | NIRF Ranking 2 #jnuuniversity Top ...,LearnEveryone,2023-11-22T06:53:12Z,2023,166,3,0,PT1M,unknown,https://www.youtube.com/watch?v=F-U1qeJTNTM,34,Relevant,#jnu Top Ranked University in India | Jawaharlal Nehru University | NIRF Ranking 2,Jawaharlal Nehru University Jawaharlal Nehru University | Top Ranked University in India | NIRF Ranking 2 #jnuuniversity Top .,#jnu Top Ranked University in India | Jawaharlal Nehru University | NIRF Ranking 2 Jawaharlal Nehru University Jawaharlal Nehru University | Top Ranked University in India | NIRF Ranking 2 #jnuuniversity Top .
-qc1_2RLRbA,Delhi University,rankings,NIRF,Delhi University NIRF,Top 10 Colleges of Delhi University | DU | Best Colleges | NIRF Ranking,Top Colleges of Delhi University | CUET - UG 2024 | NIRF Ranking JOIN OUR TELEGRAM CHANNEL: ...,Teach Me - CUET Exam,2024-04-19T11:55:11Z,2024,247,14,4,PT12M33S,unknown,https://www.youtube.com/watch?v=-qc1_2RLRbA,34,Relevant,Top 10 Colleges of Delhi University | DU | Best Colleges | NIRF Ranking,Top Colleges of Delhi University | CUET - UG 2024 | NIRF Ranking JOIN OUR TELEGRAM CHANNEL: .,Top 10 Colleges of Delhi University | DU | Best Colleges | NIRF Ranking Top Colleges of Delhi University | CUET - UG 2024 | NIRF Ranking JOIN OUR TELEGRAM CHANNEL: .
7kHBNkbsNdk,Indian Institute of Management,rankings,NIRF,Indian Institute of Management NIRF,NIRF 2024 Ranking for the Indian Institute of Management&#39;s #like #share #subscribe,NIRF 2024 Ranking for the Indian Institute of Management's #like #share #subscribe #iim #mba.,allaboutgyaan,2024-09-07T14:30:07Z,2024,268,3,0,PT40S,unknown,https://www.youtube.com/watch?v=7kHBNkbsNdk,30,Relevant,NIRF 2024 Ranking for the Indian Institute of Management's #like #share #subscribe,NIRF 2024 Ranking for the Indian Institute of Management's #like #share #subscribe #iim #mba.,NIRF 2024 Ranking for the Indian Institute of Management's #like #share #subscribe NIRF 2024 Ranking for the Indian Institute of Management's #like #share #subscribe #iim #mba.
xYL_Bgb0kKM,Delhi University,rankings,NIRF,Delhi University NIRF,🧬 CUET 2026 |  Delhi University 2025 | Preference List कैसे बनाए | NIRF Ranking के According,CUET 2026 | Delhi University 2025 | Preference List कैसे बनाए | NIRF Ranking के According Whether you're just ...,CUET Kalam,2025-06-13T08:08:40Z,2025,49,6,1,PT17M41S,unknown,https://www.youtube.com/watch?v=xYL_Bgb0kKM,30,Relevant,🧬 CUET 2026 | Delhi University 2025 | Preference List कैसे बनाए | NIRF Ranking के According,CUET 2026 | Delhi University 2025 | Preference List कैसे बनाए | NIRF Ranking के According Whether you're just .,🧬 CUET 2026 | Delhi University 2025 | Preference List कैसे बनाए | NIRF Ranking के According CUET 2026 | Delhi University 2025 | Preference List कैसे बनाए | NIRF Ranking के According Whether you're just .
SfLy8XbB1uk,Jamia Millia Islamia,rankings,NIRF,Jamia Millia Islamia NIRF,Top Ranked University in India | Jamia Millia Islamia | NIRF Ranking 3 #jamiamilliaislamia,Jamia Millia Islamia University Jamia Millia Islamia | Top Ranked University in India | NIRF Ranking 3 #jamiamilliaislamia Top ...,LearnEveryone,2023-11-24T05:20:15Z,2023,37,0,0,PT2M40S,unknown,https://www.youtube.com/watch?v=SfLy8XbB1uk,30,Relevant,Top Ranked University in India | Jamia Millia Islamia | NIRF Ranking 3 #jamiamilliaislamia,Jamia Millia Islamia University Jamia Millia Islamia | Top Ranked University in India | NIRF Ranking 3 #jamiamilliaislamia Top .,Top Ranked University in India | Jamia Millia Islamia | NIRF Ranking 3 #jamiamilliaislamia Jamia Millia Islamia University Jamia Millia Islamia | Top Ranked University in India | NIRF Ranking 3 #jamiamilliaislamia Top .
NIJ3ZlM3aHo,Mysore University,rankings,NIRF,Mysore University NIRF,"BBA, B.COM, MBA in IT, SUPPLY CHAIN, HR | University of Mysore NIRF Ranking 54 Naac A grade","Online MBA in IT, SUPPLY CHAIN, HR, FINANCE | University of Mysore NIRF Ranking 54 Naac A grade Online university of ...",CareerBugs,2023-02-20T11:16:42Z,2023,25,0,0,PT11M24S,unknown,https://www.youtube.com/watch?v=NIJ3ZlM3aHo,30,Relevant,"BBA, B.COM, MBA in IT, SUPPLY CHAIN, HR | University of Mysore NIRF Ranking 54 Naac A grade","Online MBA in IT, SUPPLY CHAIN, HR, FINANCE | University of Mysore NIRF Ranking 54 Naac A grade Online university of .","BBA, B.COM, MBA in IT, SUPPLY CHAIN, HR | University of Mysore NIRF Ranking 54 Naac A grade Online MBA in IT, SUPPLY CHAIN, HR, FINANCE | University of Mysore NIRF Ranking 54 Naac A grade Online university of ."
gmc5otLeeK8,Banaras Hindu University,rankings,NIRF,Banaras Hindu University NIRF,Banaras Hindu University | Top Ranked University in India | NIRF Ranking 5 #banarashinduuniversity,Banaras Hindu University Banaras Hindu University | Top Ranked University in India | NIRF Ranking 5 #banarashinduuniversity ...,LearnEveryone,2023-11-22T07:03:50Z,2023,53,2,0,PT2M3S,unknown,https://www.youtube.com/watch?v=gmc5otLeeK8,30,Relevant,Banaras Hindu University | Top Ranked University in India | NIRF Ranking 5 #banarashinduuniversity,Banaras Hindu University Banaras Hindu University | Top Ranked University in India | NIRF Ranking 5 #banarashinduuniversity .,Banaras Hindu University | Top Ranked University in India | NIRF Ranking 5 #banarashinduuniversity Banaras Hindu University Banaras Hindu University | Top Ranked University in India | NIRF Ranking 5 #banarashinduuniversity .
