university_name,category,keyword,video_id,video_title,channel_name,published_at
IIT Delhi,academics,faculty review,z7YedGT7iBs,IIT Delhi story I Om Pandey Sir I IIT Professors,Bipin Tiwari,2024-06-25T08:30:56Z
IIT Delhi,academics,faculty review,UrXN76EXUKo,IIT Delhi M.Sc. Physics Honest Review 🔥#Research#Placement#Faculty#Hostel &amp; Campus IIT Life#Viral###,Our Physics Lab,2025-06-18T20:25:19Z
IIT Delhi,academics,faculty review,WxWm35qXpbo," IIT Delhi MSc Mathematics Student Honest Review | Placements, Scholarship, Research, Fees, Cutoff ",Our Physics Lab,2026-06-03T08:27:34Z
IIT Delhi,academics,faculty review,AFhvjEaQVlQ,"Classroom view || Faculty of Technology, Delhi University #delhiuniversity #cuet2024 #jeemains",DuChhatra,2024-03-26T05:31:24Z
IIT Delhi,academics,faculty review,EGz-Tqv9mnU,IIT Delhi director Chatri leke nikal pade…#iitdelhi #iit #jee #minivlog  #motivation #iitlife #vlog,Jhand IITian,2025-08-19T15:32:19Z
IIT Delhi,academics,faculty review,QXT475sMD3c,IIT Delhi | College Review In Short🔥,Apna College,2023-01-24T18:06:48Z
IIT Delhi,academics,faculty review,ZjyShs0mPdg,Candid Conversation with IIT Delhi Director | Episode 1 | Prof. Rangan Banerjee,IITD OnAir,2022-11-01T13:11:57Z
IIT Delhi,academics,faculty review,2SVIIBHL0sM,"All About IIT Delhi | IIT Delhi Honest Review | Best Branch, Cut-Offs, Fees &amp; Placements​",Vedantu JEE Made Ejee,2023-05-31T01:15:39Z
IIT Delhi,academics,faculty review,aZX5ZJqgw1M,Reality of Life at IIT-DELHI 💯 || IIT-DELHI Classroom 🫶 || #iitdelhi #iit #jee #jee2024,Being IITian [IIT Delhi],2023-11-04T11:09:47Z
IIT Delhi,academics,faculty review,yJRhCEZ_JVE,Creators Spill Secrets in IIT Delhi! ​⁠| @madhurvirli ​@TheTaneeshow #iitfest #rendezvous,Aakarshan XP [IIT Delhi],2024-12-29T12:57:49Z
IIT Bombay,academics,faculty review,ZQnOPToC0Ug,IIT Bombay Professor ☠️💥🗿. IIT Motivation #jee #iit #iitjee #kota,IITian Edit,2024-12-19T10:30:12Z
IIT Bombay,academics,faculty review,mZg40hIGWnM,when JEE Adv AIR 1 Questions the Professor in IIT Bombay 🔥 #iitbombay #iit #air1 #iitjee #jee #pw,Elysium_IITBombay,2025-09-11T06:50:39Z
IIT Bombay,academics,faculty review,Hc5eCy6NDTw,Respect for IIT Bombay 📉📉📉 | IIT Status #jee2025 #iitbombay #iit,The Udaari,2024-12-12T13:35:56Z
IIT Bombay,academics,faculty review,OWe2F1qLg-E,IIT Bombay Name Is Enough 🗿🎀 | UPSC Interview,Learn With interview,2025-09-16T05:35:01Z
IIT Bombay,academics,faculty review,Yin8IghOuGQ,IIT Bombay Prof vs JEE Toppers 🫡🔥 IIT JEE Prep | IIT JEE | JEE Mains &amp; Advanced #iit #jee,RDS Vlogs [IIT Guwahati],2025-10-07T12:30:53Z
IIT Bombay,academics,faculty review,CrOlC1mwWkE,When It&#39;s Female Professor&#39;s Lecture in IIT Bombay 📍#iitbombay #iit #jee #iitjee #motivation #pw #pw,Elysium_IITBombay,2025-10-15T14:52:44Z
