university_name,category,keyword,video_id,video_title,channel_name,published_at
IIT Delhi,fees,fees review,kW6JmXy7evc,IIT Delhi FEES Structure (4 Year - UG/B.Tech) | Tuition+ Hostel+ Mess Fees &amp; Seat Matrix 2025!,"Mechenzi - Placements, Colleges & Career",2025-06-24T09:30:33Z
IIT Delhi,fees,fees review,n9URGnN1ZvA,IIT Delhi M.Tech Fees 2025 | Total Cost of Doing M.Tech from IIT Delhi   #iitdelhi #mtech #gate #iit,Sonu Yadav [ IIT-Delhi ],2025-03-19T09:15:03Z
IIT Delhi,fees,fees review,rFS4Zei2rX0,How much is IIT Fees🤔🤔#jee #jee2025 #iit #iitjee #iitfees #fees #iitcollege #money #jeepreparation,Vedantu JEE Made Ejee,2024-10-23T03:30:29Z
IIT Delhi,fees,fees review,KorbSUkxgvI,💥 IIT Delhi JEE Advanced 2025 | B.Tech Fees &amp; Placement Package Revealed!,Careers360,2025-05-16T13:26:55Z
IIT Delhi,fees,fees review,GqSy_t0590o,MTech Through GATE From IIT DELHI | College Fees | Hostel Fee | Stipend | Full Details,GATE Wallah,2023-12-08T10:39:08Z
IIT Delhi,fees,fees review,GOnEPiHYwCc,IIT Delhi College Review 2025: Truth About Placements &amp; Campus Life,Prabhat Ranjan,2025-10-30T14:35:54Z
IIT Delhi,fees,fees review,jigLrK9b9IY,IIT Fees and Scholarship | IIT me kitna paisa lagta hai🤔| IIT Motivation #shorts,Rittik Baheti(IITIAN),2024-08-05T05:48:11Z
IIT Delhi,fees,fees review,RSN_aNtOOyg,"IIT Delhi Machine Learning &amp; Data Science Course 🔥 | Fees, Certificate, Placement &amp; Full Reality",Rivn Tech,2026-02-17T08:28:04Z
IIT Delhi,fees,fees review,wnzkwpS40wI,Highest package of all 28 IIIT colleges #iit #nit #iiit #nitt,CCSU notes,2025-01-09T05:27:05Z
IIT Delhi,fees,fees review,QXT475sMD3c,IIT Delhi | College Review In Short🔥,Apna College,2023-01-24T18:06:48Z
IIT Bombay,fees,fees review,6AoFldmVjgw,Shocking Fee of IIT Bombay #jee1 #jee2026 #jee2027,JEE One,2024-09-21T15:53:37Z
IIT Bombay,fees,fees review,aJDzidrB564,IIT Bombay FEES Structure (4 Year - UG/B.Tech) | Tuition+ Hostel+ Mess Fees &amp; Seat Matrix 2025!,"Mechenzi - Placements, Colleges & Career",2025-07-03T15:30:00Z
IIT Bombay,fees,fees review,GBJfCzqZQrA,💥IIT Bombay JEE Advanced 2025 | B.Tech Fees &amp; Placement Package Revealed!,Careers360,2025-05-17T12:30:28Z
IIT Bombay,fees,fees review,JN0eFU77n84,"IIT BOMBAY 🔥 No.1 ❤️ Complete Details- Cut Off, Fees &amp; Placement",JEE Wallah,2023-03-22T14:30:06Z
IIT Bombay,fees,fees review,bzDgjV06w0M,"iit Bombay 🤩 fee structure 😱😱 || iit JEE advanced motivation , IIT Bombay motivation #iitbombay",Guider JEE,2021-08-25T09:33:28Z
IIT Bombay,fees,fees review,QGnWK2PAUmI,"IIT Bombay MTech Review | Fees, Admission, Placements, Cutoff",shiksha.com,2025-02-11T10:09:16Z
IIT Bombay,fees,fees review,HW8jOjrd_h4,MTech Fees Structure at IIT Bombay | #mtech  #iitjourney #education,Tausif [IIT Bombay],2024-04-15T15:11:00Z
IIT Bombay,fees,fees review,4TvNm5fFjQk,IIT Bombay Fee Structure | B.Tech 1st Year Fees | #Shorts,Exam Update By Ashish Sir,2021-05-23T12:50:57Z
IIT Madras,fees,fees review,MljgPkA0nJw,IITM BS New Fees 2026 😱 Old vs New Fee Structure + Fee Waiver Explained #iitmadrasbs #iitmadras,Datalogy,2025-12-26T08:30:06Z
IIT Madras,fees,fees review,D5pf8Fy0yog,IIT MADRAS ONLINE DEGREE WORTH IT? FEES ? #iit #iitm #iitmadras  #minivlog #iittm #bhulife #bhuvlog,Anushka Pandey,2025-10-17T10:50:00Z
IIT Madras,fees,fees review,8ddVZn-u4NM,IIT Madras FEES Structure (4 Year - UG/B.Tech) | Tuition+ Hostel+ Mess Fees &amp; Seat Matrix 2025!,"Mechenzi - Placements, Colleges & Career",2025-07-01T09:30:04Z
IIT Madras,fees,fees review,2uK8kJ1smbI,IIT Madras Per Semester Fees #iit #iitjee #iitmadras,Your JEE Saathi,2023-04-23T04:00:02Z
IIT Madras,fees,fees review,OG_qhdKIiDg,ALL IIT MTech Fees 2026 🔥 Total Cost vs Stipend Explained | Post GATE Guidance 2026,GATE Wallah,2026-04-06T02:11:53Z
IIT Madras,fees,fees review,hHFs_sZiWD0,"IIT MADRAS FEES STRUCTURE | IIT MADRS | B.TECH, M.TECH, MBA, MA, MSC, PhD ALL BRANCHES COVERED",Freshers Gate,2022-05-03T11:00:16Z
IIT Madras,fees,fees review,QUeJbHUtDxQ,IIT Madras BSc Fees Structure✅✅#iit #iitmadras #iitwithoutjee #bsc #fees #feesstructure #madras,Vedantu JEE Made Ejee,2024-04-05T12:30:16Z
IIT Madras,fees,fees review,RVy-GjlZaBo,"IIT Madras Fee Structure 2025 | B.Tech, M.Tech, Ph.D. #shorts #iitmadarsfee #iitmadras #gfg",GeeksforGeeks GATE English,2025-03-30T07:30:17Z
IIT Madras,fees,fees review,924Ks1HYASg,IIT Chennai Fees Structure part 1 👍         #iit #iitchennai #jee #jeemain #jeeadvance,MAAS Academy,2025-01-29T02:37:31Z
IIT Madras,fees,fees review,V0K6t823kNw,💥 IIT Madras JEE Advanced 2025 | B.Tech Fees &amp; Placement Package Revealed!,Careers360,2025-05-17T05:12:06Z
IIT Kanpur,fees,fees review,n0Bqgk4O-vg,IIT Kanpur FEES Structure (4 Year - UG/B.Tech) | Tuition+ Hostel+ Mess Fees &amp; Seat Matrix 2025!,"Mechenzi - Placements, Colleges & Career",2025-07-03T09:30:35Z
IIT Kanpur,fees,fees review,6E7vee1AHLM,💥 IIT Kanpur JEE Advanced 2025 | B.Tech Fees &amp; Placement Package Revealed!,Careers360,2025-05-16T14:30:04Z
IIT Kanpur,fees,fees review,KATM9yf8tXM,IIT Kanpur College Review InShort,Apna College,2023-02-24T14:44:11Z
IIT Kanpur,fees,fees review,nxWbClC6Cis,"IIT Kanpur M.Tech Placements, Fees And Cutoff | CE | ME | XE Branch | Complete Guidance","GATE Wallah - ME, CE, XE, CH, PI & ES",2025-04-02T01:01:27Z
IIT Kanpur,fees,fees review,sWeVTmyeJfY,IIT Kanpur🔥Complete Details !! 1 Cr. Package to 33 Students 🤩💪,JEE Wallah,2023-05-19T14:00:40Z
IIT Kanpur,fees,fees review,CfoGsQEEh2o,IIT KANPUR Review in One minute 😍 #shorts #iitmotivation,Ritik Meghwani,2022-05-25T15:01:05Z
IIT Kanpur,fees,fees review,kgMoR5Obqjk,IIT Kanpur college review 2025 : Truth About Placements &amp; Campus Life,Prabhat Ranjan,2025-11-02T06:30:24Z
IIT Kanpur,fees,fees review,kE7HJE1h97I,IIT Kanpur Campus *EXPOSED* 🥹  IIT-JEE Expectations vs Reality 😂 IIT Kanpur Campus Tour #iit,RDS Vlogs [IIT Guwahati],2025-05-11T09:00:53Z
IIT Kanpur,fees,fees review,e9jruj1EMUQ,IIT KANPUR PLACEMENT 2024-25 🔥 || HIGHEST PACKAGE 🤑 || AVERAGE PACKAGE 😳 #shorts,Tarkar vlog,2025-05-12T12:18:11Z
