university_name,category,keyword,video_id,video_title,channel_name,published_at
IIT Delhi,placement,placement review,ci2zr7-SLGQ,IIT Delhi Textile to 60 Lakh Per Annum Placement | IIT Delhi Placement 2026,Sihara_Vikas[IIT DELHI],2026-04-12T14:28:44Z
IIT Delhi,placement,placement review,WEO6tXKonm0,4 Crore Placement 🔥,Rohit Shaw [IITD],2025-08-21T16:36:54Z
IIT Delhi,placement,placement review,GOnEPiHYwCc,IIT Delhi College Review 2025: Truth About Placements &amp; Campus Life,Prabhat Ranjan,2025-10-30T14:35:54Z
IIT Delhi,placement,placement review,6lM_R5faA3o,"IIT Delhi Placement Madness | Offers in Crores, Stress, Suits &amp; OCS Chaos! ⚡💰",Jhand IITian,2025-12-02T12:30:37Z
IIT Delhi,placement,placement review,KorbSUkxgvI,💥 IIT Delhi JEE Advanced 2025 | B.Tech Fees &amp; Placement Package Revealed!,Careers360,2025-05-16T13:26:55Z
IIT Delhi,placement,placement review,QXT475sMD3c,IIT Delhi | College Review In Short🔥,Apna College,2023-01-24T18:06:48Z
IIT Delhi,placement,placement review,8FR0O-pt6Jc,I Almost *REJECTED* Samsung? 🤯 | My IIT Delhi Placement Story,Dhairya Sandhyana,2025-08-21T15:36:24Z
IIT Delhi,placement,placement review,BJfxwArqlt0,IIT DELHI&#39;s Best Coder&#39;s Placement Journey | IIT Delhi Placement 2025,Sihara_Vikas[IIT DELHI],2025-06-01T11:04:41Z
IIT Delhi,placement,placement review,fDTHmVQcZt0,Reality of 4.3 CRORE Package in IIT 🤯| Highest Package of IITs | IIT Motivation #shorts,Rittik Baheti(IITIAN),2024-12-12T13:15:24Z
IIT Delhi,placement,placement review,Z991zC9iTF4,My IIT Placement Revealed!! Company?Pakage? Role? Location? 🔥 #iit #placement #minivlog,Harshita Singh(IITian),2025-06-16T11:03:15Z
IIT Bombay,placement,placement review,CD4TBddElOc,Highest package IIT Bombay🔥 #iitbombay #placements #iit #jee #iitjee #gate#shorts #iitian #package,Prashant Singh [ IIT Bombay ],2024-12-01T15:22:13Z
IIT Bombay,placement,placement review,N3GTtuohNGA,Reality of IIT Bombay Placements: 1 Crore vs The Truth (Exposed),Shourya Goyal (IIT Bombay),2025-12-03T03:45:02Z
IIT Bombay,placement,placement review,GBJfCzqZQrA,💥IIT Bombay JEE Advanced 2025 | B.Tech Fees &amp; Placement Package Revealed!,Careers360,2025-05-17T12:30:28Z
IIT Bombay,placement,placement review,POEszFGIzyQ,IIT Bombay placements (2024-2025) : branch wise : IIT M.Tech placement #iitbombay #placement #mtech,Aniruddha Sir : The Civil Guruji,2025-02-20T16:20:03Z
IIT Bombay,placement,placement review,_Y_ED0yWq1I,IIT Chemical Placement Ranking : IIT Bombay is not #1 💀 IIT JEE | JEE Advanced | JEE Mains #iit,RDS Vlogs [IIT Guwahati],2025-08-17T12:45:58Z
IIT Bombay,placement,placement review,A1-9W815gms,IIT Bombay Placement Exposed 😡 Just 4 Lakh Per Annum 😥 | Reality of IIT Dream Jobs #iitbombay #VED,Padhai Passion,2025-09-19T03:51:48Z
IIT Bombay,placement,placement review,aI2BUbRIdzU,IIT Bombay Highest Placement 2025-2026🤫55+ students got 1 Crore+ package🔥,Prashant Singh [ IIT Bombay ],2026-01-15T09:23:25Z
IIT Bombay,placement,placement review,k25BOml1-ow,IITs mein Crores ke package lagte hai?😳#iitbombay #iit #jee #truth#shorts#motivation#air01 #college,Prashant Singh [ IIT Bombay ],2025-05-29T03:30:29Z
IIT Bombay,placement,placement review,zaV8a8qJkcU,IIT Electrical Placement Ranking : IIT Bombay is not #1 💀 IIT JEE | JEE Advanced | JEE Mains #iit,RDS Vlogs [IIT Guwahati],2025-08-17T12:41:35Z
IIT Bombay,placement,placement review,W6FeOyZYB2Y,What Placements at IIT BOMBAY looks like😂 #rushikale #iit #iitbombay,Rushi Kale Vlogs,2023-12-08T13:52:50Z
IIT Madras,placement,placement review,wnzkwpS40wI,Highest package of all 28 IIIT colleges #iit #nit #iiit #nitt,CCSU notes,2025-01-09T05:27:05Z
IIT Madras,placement,placement review,ixEOv3tZDJE,"IIT Madras Rocks Again 🔥 Best AI Placements 2026 |Companies, Roles &amp; Packages (Base + CTC) Revealed!",Dr. Kishalay Das KD,2026-03-02T13:30:06Z
IIT Madras,placement,placement review,N__rY2oIt8I,IIT Madras Placement 2026 Reality | Branch Wise Package | JEE 2026 Must Watch,Ayush Garg Classes,2025-11-30T07:44:19Z
IIT Madras,placement,placement review,VQY_Sr-Q6TM,IIT Madras Placement 😱🔥 IIT Madras Placement Packages 🧐 IIT Madras Average Package #iit #jee,RDS Vlogs [IIT Guwahati],2026-03-03T16:00:42Z
IIT Madras,placement,placement review,V0K6t823kNw,💥 IIT Madras JEE Advanced 2025 | B.Tech Fees &amp; Placement Package Revealed!,Careers360,2025-05-17T05:12:06Z
IIT Madras,placement,placement review,ID0-RbOEbvg,IIT Madras College Review in Short,Apna College,2023-02-04T14:38:51Z
IIT Madras,placement,placement review,yjgC5P68l6o,"4.3Cr Highest package😱of IIT Madras | IIT Madras Campus Tour, #minivlog #placement #iitmadras #iitb",Akash Jaiswal (IITB),2024-12-23T12:05:32Z
IIT Madras,placement,placement review,1LeQRONKHF4,Honest Review of My MTech at IIT Madras| is IIT MTech Placements good?,Rahuram Chanthrakumar,2024-02-29T12:30:01Z
IIT Madras,placement,placement review,u_1j_aSzW3k,IIT cse package | 42lpa cutoff placement || #jee2023  #iitbombay#iitmadras #physicswallah #iitstatus,Dream IIT,2022-09-19T07:34:59Z
IIT Madras,placement,placement review,u40vooCgjmg,IIT Madras Placement Details &amp; Top Recruiters | Full College Tour | Must-Know for Future IITians,College Dost Tamil,2025-06-09T06:19:01Z
IIT Kanpur,placement,placement review,4oC26zftadg,IIT Kanpur Placements Will SHOCK You! (Best in India?) 😱💰 #iit #jee,RDS Vlogs [IIT Guwahati],2025-07-30T09:26:02Z
IIT Kanpur,placement,placement review,0gvofOg5bCI,"IIT KANPUR, KIS DEPARTMENT ME SABSE JAYDA PLACEMENT HOTA HAI? GATE 2023",GATE Wallah CSE & DA,2022-12-02T09:15:38Z
IIT Kanpur,placement,placement review,6E7vee1AHLM,💥 IIT Kanpur JEE Advanced 2025 | B.Tech Fees &amp; Placement Package Revealed!,Careers360,2025-05-16T14:30:04Z
IIT Kanpur,placement,placement review,KATM9yf8tXM,IIT Kanpur College Review InShort,Apna College,2023-02-24T14:44:11Z
IIT Kanpur,placement,placement review,MEbNCC0DSXw,IIT Kanpur M.Tech Cutoff : IIT Kanpur M.Tech Placements : COAP 2026 @TheCivilGuruji #iitkanpur #iit,Aniruddha Sir : The Civil Guruji,2026-04-11T14:35:06Z
IIT Kanpur,placement,placement review,-jebfKbpNWU,Inside IIT Kanpur Aerospace | Future of Indian Aviation 🇮🇳✈️ #iit #iitjee #iitjam #gate #iitkanpur,AnalyticEdge(IITK),2025-07-27T15:10:22Z
IIT Kanpur,placement,placement review,e9jruj1EMUQ,IIT KANPUR PLACEMENT 2024-25 🔥 || HIGHEST PACKAGE 🤑 || AVERAGE PACKAGE 😳 #shorts,Tarkar vlog,2025-05-12T12:18:11Z
IIT Kanpur,placement,placement review,QpNMnTR7_hc,IIT Kanpur EXPOSED 💀🥹 IIT Kanpur Placements 🫡 IIT JEE #iit #jee,RDS Vlogs [IIT Guwahati],2025-06-04T19:47:19Z
IIT Kanpur,placement,placement review,Se96oGIEmnE,"IIT Kanpur Placements | Average &amp; Highest Salary, Packages, Top Recruiters &amp; Alumni",MBA360,2026-02-03T11:02:34Z
IIT Kanpur,placement,placement review,kgMoR5Obqjk,IIT Kanpur college review 2025 : Truth About Placements &amp; Campus Life,Prabhat Ranjan,2025-11-02T06:30:24Z
IIT Kharagpur,placement,placement review,jp_TOapsYxw,IIT Kharagpur Me Pure Batch Ko Mila Campus Placement🔥🥳 #PW #GATE,"GATE Wallah - ME, CE, XE, CH, PI & ES",2024-09-25T15:30:14Z
IIT Kharagpur,placement,placement review,2WdEOwZP_go,IIT Kharagpur 2024-25 Placements | ₹2.14 Cr Highest Package | 1800+ Job Offers!,Careers360,2025-06-11T13:49:46Z
IIT Kharagpur,placement,placement review,xHPT_o_rz0w,☺️Visiting IIT KGP Hostel - Sundar Pichai,Pawan Kushwaha,2024-01-02T02:30:34Z
